name;final_scores;scores_s1;scores_s2;scores_s3;scores_s4;scores_s5
Abercrombie & Fitch;0,248;0,638297872;0,333333333;0,063291139;0,238095238;0,163265306
Adidas;0,694;0,989361702;1;0,620253165;0,587301587;0,591836735
Aeropostale;0,04;0,14893617;0;0;0,047619048;0
ALDI Nord;0,252;0,595744681;0,333333333;0,113924051;0,222222222;0,163265306
ALDI SOUTH;0,3;0,680851064;0,166666667;0,253164557;0,206349206;0,163265306
ALDO;0,174;0,542553191;0,166666667;0,012658228;0,158730159;0,102040816
Amazon;0,254;0,670212766;0,166666667;0,189873418;0,142857143;0,12244898
American Eagle;0,172;0,531914894;0,25;0,012658228;0,111111111;0,142857143
ANTA;0,084;0,255319149;0,166666667;0;0,063492063;0,06122449
Anthropologie;0,202;0,35106383;0;0,329113924;0,079365079;0,06122449
Aritzia;0,158;0,521276596;0,25;0,012658228;0,063492063;0,142857143
Armani;0,088;0,361702128;0,166666667;0;0,031746032;0,020408163
Asda;0,338;0,776595745;0,666666667;0,139240506;0,253968254;0,265306122
ASICS;0,458;0,861702128;0,333333333;0,481012658;0,26984127;0,306122449
ASOS;0,548;0,787234043;0,333333333;0,658227848;0,365079365;0,428571429
Balenciaga;0,468;0,978723404;1;0,126582278;0,428571429;0,448979592
Bally;0;0;0;0;0;0
Banana Republic;0,5;0,914893617;0,5;0,455696203;0,380952381;0,326530612
BCBGMAXAZRIA;0,032;0,127659574;0;0;0,031746032;0
Beanpole;0,076;0,212765957;0,333333333;0;0,031746032;0,06122449
Belle;0;0;0;0;0;0
Bershka;0,442;0,861702128;0,666666667;0,189873418;0,396825397;0,448979592
Big Bazaar - ffb;0,012;0,042553191;0,083333333;0;0;0
Big W;0,302;0,734042553;0,25;0,139240506;0,349206349;0,102040816
Billabong;0,034;0,095744681;0;0;0,063492063;0
Bloomingdale's;0,156;0,595744681;0,083333333;0,012658228;0,111111111;0,040816327
Bonprix;0,43;0,712765957;0,666666667;0,493670886;0,317460317;0,142857143
boohoo;0,092;0,255319149;0,083333333;0;0,095238095;0,081632653
Bosideng;0,074;0,35106383;0,166666667;0;0;0
Bottega Veneta;0,464;0,978723404;1;0,126582278;0,428571429;0,428571429
Brooks Brothers;0,052;0,234042553;0;0;0,031746032;0
Brooks Sport;0,254;0,585106383;0,166666667;0,139240506;0,222222222;0,183673469
Brunello Cucinelli;0,106;0,244680851;0,333333333;0;0,095238095;0,102040816
Buckle;0,096;0,361702128;0,166666667;0;0,079365079;0
Burberry;0,36;0,85106383;0,5;0,012658228;0,333333333;0,448979592
Burlington;0,144;0,489361702;0,166666667;0;0,111111111;0,081632653
C&A;0,698;0,968085106;1;0,696202532;0,587301587;0,510204082
Calvin Klein;0,538;0,882978723;0,5;0,518987342;0,365079365;0,469387755
Calzedonia;0,132;0,595744681;0,166666667;0;0,015873016;0,040816327
Canada Goose;0,042;0,095744681;0;0,012658228;0,063492063;0,020408163
Carhartt;0,06;0,234042553;0,166666667;0;0,031746032;0
Carolina Herrera;0,12;0,446808511;0,166666667;0;0,047619048;0,081632653
CAROLL;0,14;0,510638298;0,083333333;0;0,079365079;0,102040816
Carrefour ;0,204;0,638297872;0,166666667;0,012658228;0,206349206;0,102040816
Cato Fashions;0,052;0,14893617;0;0;0,095238095;0
CELINE;0,256;0,787234043;0,666666667;0,012658228;0,111111111;0,224489796
celio;0,014;0,074468085;0;0;0;0
Champion;0,388;0,531914894;0,5;0,506329114;0,253968254;0,204081633
Chanel;0,106;0,436170213;0;0;0,047619048;0,06122449
Chico's;0,118;0,393617021;0,333333333;0;0,111111111;0
Chloé;0,2;0,659574468;0,333333333;0,012658228;0,158730159;0,081632653
Claire's;0,048;0,212765957;0;0;0,031746032;0
Clarks;0,404;0,680851064;0,333333333;0,594936709;0,142857143;0,183673469
COACH;0,188;0,595744681;0,166666667;0,012658228;0,142857143;0,142857143
Cole Haan;0,082;0,244680851;0,166666667;0,012658228;0,079365079;0,020408163
Columbia Sportswear;0,282;0,5;0,333333333;0,253164557;0,174603175;0,244897959
Converse;0,552;0,914893617;0,5;0,594936709;0,26984127;0,510204082
Cortefiel;0,162;0,478723404;0,166666667;0,012658228;0,19047619;0,06122449
Costco;0,152;0,553191489;0;0,012658228;0,111111111;0,081632653
Cotton On;0,25;0,372340426;0,083333333;0,265822785;0,285714286;0,102040816
Debenhams;0,408;0,553191489;0;0,569620253;0,365079365;0,163265306
Decathlon;0,234;0,606382979;0,166666667;0;0,222222222;0,285714286
Desigual;0,168;0,553191489;0;0;0,158730159;0,12244898
Diane Von Furstenberg;0,024;0,063829787;0,166666667;0;0,015873016;0
Dick's Sporting Goods;0,164;0,553191489;0,333333333;0;0,142857143;0,040816327
Diesel;0,106;0,393617021;0,166666667;0;0,063492063;0,040816327
Dillards;0,096;0,276595745;0,333333333;0;0,095238095;0,020408163
Dior;0,26;0,787234043;0,666666667;0,012658228;0,111111111;0,244897959
Disney;0,228;0,510638298;0,166666667;0,202531646;0,19047619;0,06122449
DKNY;0,024;0,085106383;0;0;0,031746032;0
Dolce & Gabbana;0,034;0,180851064;0;0;0;0
Dr. Martens;0,096;0,340425532;0,166666667;0,012658228;0,047619048;0,040816327
Dressmann;0,48;0,744680851;0,833333333;0,53164557;0,412698413;0,142857143
DSW;0,104;0,382978723;0,166666667;0;0,079365079;0,020408163
Eddie Bauer;0,046;0,20212766;0;0;0,031746032;0
El Corte Inglés;0,278;0,670212766;0,333333333;0,164556962;0,174603175;0,204081633
Elie Tahari;0;0;0;0;0;0
Ermenegildo Zegna;0,268;0,361702128;0;0,569620253;0,079365079;0
Esprit;0,642;0,861702128;0,666666667;0,82278481;0,444444444;0,387755102
Express;0,08;0,255319149;0,166666667;0;0,095238095;0
Falabella;0,17;0,414893617;0,416666667;0;0,222222222;0,081632653
Famous Footwear;0,092;0,340425532;0,166666667;0,012658228;0,063492063;0
Fanatics;0,15;0,265957447;0;0,265822785;0,063492063;0
Fashion Nova;0,016;0,063829787;0;0;0,015873016;0
Fendi;0,252;0,787234043;0,666666667;0,012658228;0,111111111;0,204081633
Fila;0,078;0,265957447;0,083333333;0;0,063492063;0,040816327
Fjällräven;0,312;0,808510638;0,75;0,075949367;0,174603175;0,285714286
Foot Locker;0,074;0,287234043;0,166666667;0;0,031746032;0,020408163
Forever 21;0,066;0,287234043;0;0;0,031746032;0,020408163
Foschini;0,144;0,340425532;0,5;0;0,126984127;0,12244898
Fossil;0,128;0,446808511;0;0,012658228;0,095238095;0,081632653
Free people;0,206;0,35106383;0;0,329113924;0,079365079;0,081632653
Furla;0,102;0,457446809;0;0;0,063492063;0
Gap;0,5;0,787234043;0,583333333;0,594936709;0,333333333;0,204081633
Gerry Weber;0,104;0,914893617;0,5;0,455696203;0,380952381;0,326530612
Gildan;0,492;0,340425532;0,333333333;0,012658228;0,063492063;0,020408163
G-Star RAW;0,488;0,914893617;0,5;0,518987342;0,301587302;0,285714286
Gucci;0,484;1;1;0,126582278;0,428571429;0,510204082
GUESS;0,192;0,574468085;0,333333333;0;0,142857143;0,163265306
H&M;0,728;0,914893617;1;0,772151899;0,555555556;0,632653061
Hanes;0,388;0,531914894;0,5;0,506329114;0,253968254;0,204081633
Heilan Home;0;0;0;0;0;0
Helly Hansen;0,35;0,478723404;0,333333333;0,46835443;0,253968254;0,163265306
HEMA;0,338;0,542553191;0,25;0,46835443;0,238095238;0,081632653
Hermès;0,33;0,882978723;0,166666667;0,265822785;0,111111111;0,224489796
Hollister Co.;0,248;0,638297872;0,333333333;0,063291139;0,238095238;0,163265306
Hudson's Bay;0,19;0,542553191;0,166666667;0,113924051;0,158730159;0,020408163
Hugo Boss;0,41;0,904255319;0,833333333;0,240506329;0,301587302;0,244897959
Intimissimi;0,132;0,595744681;0,166666667;0;0,015873016;0,040816327
Ito-Yokado;0,206;0,712765957;0,166666667;0,012658228;0,174603175;0,081632653
J.Crew;0,144;0,510638298;0,166666667;0,012658228;0,111111111;0,040816327
Jack & Jones;0,292;0,680851064;0,333333333;0,253164557;0,158730159;0,142857143
JCPenney;0,148;0,446808511;0,5;0;0,126984127;0,040816327
JD Sports;0,16;0,425531915;0,333333333;0;0,142857143;0,142857143
Jessica Simpson;0;0;0;0;0;0
Jil Sander;0,062;0,159574468;0;0;0,079365079;0,06122449
Jockey;0,044;0,170212766;0;0;0,047619048;0
Joe Fresh;0,134;0,35106383;0,166666667;0,063291139;0,111111111;0,06122449
John Lewis;0,296;0,574468085;0,166666667;0,316455696;0,095238095;0,285714286
Jordan;0,552;0,914893617;0,5;0,594936709;0,26984127;0,510204082
Justfab;0,042;0,180851064;0;0;0,031746032;0
Kate Spade;0,188;0,234042553;0,166666667;0;0,031746032;0
Kathmandu;0,302;0,595744681;0,166666667;0,012658228;0,142857143;0,142857143
Kaufland;0,182;0,691489362;0,333333333;0,253164557;0,174603175;0,163265306
KiK;0,18;0,308510638;0,166666667;0,215189873;0,095238095;0,12244898
Kmart ;0,178;0,574468085;0,5;0,012658228;0,111111111;0,081632653
Kmart Australia;0,328;0,670212766;0,333333333;0;0,111111111;0,040816327
Kohl's;0,164;0,829787234;0,166666667;0,151898734;0,301587302;0,204081633
KOOVS;0,016;0,510638298;0,416666667;0;0,126984127;0,081632653
K-Way;0,06;0,085106383;0;0;0;0
La Redoute;0,114;0,414893617;0,166666667;0;0,031746032;0,102040816
Lacoste;0,246;0,64893617;0;0,227848101;0,111111111;0,12244898
Lands' End;0,186;0,670212766;0,5;0,012658228;0,126984127;0
Levi Strauss & Co;0,478;0,882978723;0,5;0,379746835;0,428571429;0,306122449
Lidl;0,268;0,542553191;0,166666667;0;0,095238095;0,102040816
Lindex;0,496;0,574468085;0,166666667;0,126582278;0,26984127;0,224489796
Li-Ning;0,154;0,744680851;0,5;0,594936709;0,365079365;0,265306122
LL Bean;0,06;0,234042553;0;0,012658228;0,047619048;0
LOFT;0,256;0,595744681;0,416666667;0,139240506;0,19047619;0,163265306
Longchamp;0,03;0,095744681;0,166666667;0;0;0,020408163
Louis Vuitton;0,26;0,787234043;0,666666667;0,012658228;0,111111111;0,244897959
Lululemon;0,456;0,744680851;0,5;0,569620253;0,349206349;0,12244898
Macy's;0,156;0,595744681;0,083333333;0,012658228;0,111111111;0,040816327
Mammut;0,314;0,521276596;0,166666667;0,265822785;0,206349206;0,367346939
Mango;0,216;0,638297872;0,166666667;0;0,174603175;0,224489796
Marc Jacobs;0,252;0,787234043;0,666666667;0,012658228;0,111111111;0,204081633
Marks & Spencer;0,596;0,936170213;0,833333333;0,53164557;0,428571429;0,530612245
Marni;0,106;0,393617021;0,166666667;0;0,063492063;0,040816327
Massimo Dutti;0,442;0,861702128;0,666666667;0,189873418;0,396825397;0,448979592
Matalan;0,176;0,404255319;0;0,164556962;0,174603175;0,020408163
Max Mara;0,004;0,021276596;0;0;0;0
Merrell;0,11;0,393617021;0,083333333;0,012658228;0,111111111;0
Metersbonwe;0,008;0;0,166666667;0;0;0
Mexx;0;0;0;0;0;0
Michael Kors;0,076;0,234042553;0,166666667;0;0,095238095;0
Miu Miu;0,182;0,585106383;0,333333333;0,012658228;0,079365079;0,163265306
Mizuno;0,268;0,638297872;0,333333333;0,227848101;0,19047619;0,06122449
Moncler;0,188;0,659574468;0,333333333;0,012658228;0,142857143;0,040816327
Monoprix;0,22;0,765957447;0,333333333;0;0,158730159;0,102040816
Monsoon;0,4;0,829787234;0,416666667;0,481012658;0,142857143;0,183673469
Morrisons;0,314;0,521276596;0,333333333;0,303797468;0,253968254;0,204081633
MRP;0,158;0,5;0,166666667;0,012658228;0,142857143;0,081632653
Muji;0,104;0,340425532;0,083333333;0;0,095238095;0,06122449
Neiman Marcus;0,064;0,255319149;0,166666667;0;0,031746032;0
New Balance;0,484;0,765957447;0,666666667;0,455696203;0,396825397;0,326530612
New Look;0,426;0,670212766;0,666666667;0,430379747;0,333333333;0,244897959
New York & Company;0,074;0,244680851;0;0;0,111111111;0
New Yorker;0,006;0,031914894;0;0;0;0
Next;0,362;0,776595745;0,416666667;0,253164557;0,238095238;0,285714286
Nike;0,552;0,914893617;0,5;0,594936709;0,26984127;0,510204082
Nine West;0,032;0,063829787;0,166666667;0;0,047619048;0
Nordstrom;0,222;0,670212766;0,166666667;0,012658228;0,206349206;0,163265306
Old Navy;0,5;0,914893617;0,5;0,455696203;0,380952381;0,326530612
Otto;0,196;0,638297872;0,666666667;0,012658228;0,079365079;0,102040816
OVS;0,346;0,734042553;0,333333333;0,227848101;0,285714286;0,244897959
Patagonia;0,604;0,893617021;0,5;0,607594937;0,428571429;0,571428571
Pepe Jeans;0,004;0,021276596;0;0;0;0
Pimkie;0,182;0,35106383;0,166666667;0,240506329;0,111111111;0,020408163
Prada;0,182;0,585106383;0,333333333;0,012658228;0,079365079;0,163265306
PrettyLittleThing;0,092;0,255319149;0,083333333;0;0,095238095;0,081632653
Primark;0,384;0,723404255;0,166666667;0,227848101;0,412698413;0,326530612
Prisma;0,248;0,553191489;0,583333333;0,075949367;0,19047619;0,224489796
Pull&Bear;0,442;0,861702128;0,666666667;0,189873418;0,396825397;0,448979592
Puma;0,566;0,946808511;0,833333333;0,46835443;0,46031746;0,428571429
Quicksilver;0,034;0,095744681;0;0;0,063492063;0
Ralph Lauren;0,27;0,776595745;0,5;0,012658228;0,174603175;0,265306122
Reebok;0,694;0,989361702;1;0,620253165;0,587301587;0,591836735
REI;0,234;0,542553191;0,25;0,139240506;0,19047619;0,142857143
Reliance Trends;0,124;0,361702128;0,333333333;0;0,095238095;0,081632653
Reserved;0,194;0,542553191;0,416666667;0,012658228;0,126984127;0,183673469
REVOLVE;0,022;0,053191489;0;0;0,047619048;0
River Island;0,222;0,414893617;0,166666667;0,265822785;0,174603175;0,040816327
Ross Dress for Less;0,084;0,319148936;0;0;0,095238095;0
Roxy;0,034;0,095744681;0;0;0,063492063;0
Russell Athletic;0,362;0,585106383;0,333333333;0,493670886;0,285714286;0,040816327
s.Oliver;0,162;0,585106383;0,333333333;0,012658228;0,063492063;0,081632653
Sainsbury's;0,47;0,627659574;0,833333333;0,544303797;0,333333333;0,285714286
SAINT LAURENT;0,468;0,978723404;1;0,126582278;0,428571429;0,448979592
Saks Fifth Avenue;0,19;0,542553191;0,166666667;0,113924051;0,158730159;0,020408163
Salvatore Ferragamo;0,206;0,712765957;0,333333333;0,012658228;0,142857143;0,081632653
Sandro;0,114;0,393617021;0,083333333;0;0,095238095;0,06122449
Skechers;0,082;0,329787234;0;0;0,063492063;0,020408163
Speedo;0,338;0,64893617;0,5;0,303797468;0,19047619;0,244897959
Sports Direct;0,06;0,234042553;0;0;0,015873016;0,06122449
Steve Madden;0,096;0,404255319;0,166666667;0;0,031746032;0,020408163
Stradivarius;0,442;0,861702128;0,666666667;0,189873418;0,396825397;0,448979592
Superdry;0,202;0,606382979;0,166666667;0,012658228;0,126984127;0,224489796
Takko;0,116;0,319148936;0,166666667;0,012658228;0,126984127;0,06122449
Target;0,374;0,79787234;0,333333333;0,291139241;0,253968254;0,265306122
Target Australia;0,328;0,829787234;0,166666667;0,151898734;0,301587302;0,204081633
Tchibo;0,484;0,893617021;1;0,417721519;0,317460317;0,285714286
Ted Baker;0,234;0,521276596;0,25;0,278481013;0,047619048;0,12244898
Tesco ;0,434;0,755319149;0,5;0,417721519;0,26984127;0,346938776
Tezenis;0,132;0,595744681;0,166666667;0;0,015873016;0,040816327
The Children's Place;0,09;0,35106383;0;0;0,095238095;0
The North Face;0,586;0,882978723;0,5;0,810126582;0,26984127;0,367346939
The Warehouse;0,342;0,755319149;0,25;0,35443038;0,158730159;0,183673469
Timberland;0,588;0,893617021;0,5;0,810126582;0,26984127;0,367346939
TJ Maxx;0,152;0,510638298;0,333333333;0;0,095238095;0,081632653
Tod's;0,202;0,5;0,333333333;0,101265823;0,079365079;0,204081633
Tom Ford;0,002;0,010638298;0;0;0;0
Tom Tailor;0,18;0,382978723;0,25;0,139240506;0,158730159;0,06122449
Tommy Bahama;0,084;0,340425532;0;0;0,047619048;0,040816327
Tommy Hilfiger;0,538;0,882978723;0,5;0,518987342;0,365079365;0,469387755
Topman;0,382;0,670212766;0,333333333;0,392405063;0,301587302;0,204081633
Topshop;0,382;0,670212766;0,333333333;0,392405063;0,301587302;0,204081633
TOPVALU COLLECTION;0,194;0,712765957;0,166666667;0;0,063492063;0,183673469
Tory Burch;0,036;0,170212766;0;0;0,015873016;0
Triumph;0,1;0,319148936;0;0;0,142857143;0,020408163
Truworths;0,146;0,478723404;0,166666667;0;0,095238095;0,12244898
UGG;0,174;0,563829787;0,333333333;0,012658228;0,111111111;0,102040816
Under Armour;0,292;0,680851064;0,166666667;0,265822785;0,206349206;0,102040816
Uniqlo;0,396;0,787234043;0,166666667;0,215189873;0,412698413;0,346938776
United Arrows;0,07;0,308510638;0;0;0,015873016;0,040816327
United Colors of Benetton;0,546;0,840425532;0,5;0,734177215;0,365079365;0,204081633
Urban Outfitters;0,202;0,35106383;0;0,329113924;0,079365079;0,06122449
Valentino;0,098;0,35106383;0,166666667;0;0,063492063;0,040816327
Van Heusen;0,538;0,882978723;0,5;0,518987342;0,365079365;0,469387755
Vans;0,586;0,882978723;0,5;0,810126582;0,26984127;0,367346939
Vero Moda;0,296;0,680851064;0,333333333;0,253164557;0,158730159;0,163265306
Versace;0,058;0,20212766;0,083333333;0;0,063492063;0
Very;0,282;0,563829787;0,333333333;0,253164557;0,253968254;0,081632653
Victoria's Secret;0,212;0,510638298;0,166666667;0,126582278;0,174603175;0,12244898
Walmart;0,28;0,787234043;0,666666667;0,012658228;0,253968254;0,163265306
Woolworths South Africa;0,194;0,563829787;0,333333333;0,012658228;0,111111111;0,204081633
Wrangler;0,586;0,882978723;0,5;0,810126582;0,26984127;0,367346939
Youngor;0;0;0;0;0;0
Zalando;0,39;0,840425532;0,583333333;0,291139241;0,222222222;0,285714286
Zara;0,442;0,861702128;0,666666667;0,189873418;0,396825397;0,448979592
Zeeman;0,248;0,489361702;0,166666667;0,240506329;0,142857143;0,183673469